"from","to","value"
"gene22","pheno2","0.0256490815432191"
"gene27","gene44","0.0255799203496993"
"gene23","gene38","0.0255761085183862"
"gene11","gene24","0.0255138437328774"
"gene5","gene43","0.0255075303209659"
"gene3","gene35","0.025468389251283"
"gene6","gene18","0.0254137239880156"
"gene20","gene48","0.0253940155755808"
"gene21","gene44","0.025377460721619"
"gene11","gene28","0.0252774659381079"
"gene5","gene22","0.0252604803556367"
"gene5","gene41","0.0252352587597214"
"gene11","gene35","0.0252322270017961"
"gene42","gene48","0.0252298273280703"
"gene4","gene22","0.025200386888256"
"gene42","gene47","0.0251082796852489"
"gene5","gene20","0.0250894739277361"
"gene12","gene26","0.0250751086827838"
"gene10","gene16","0.0250679126419202"
"gene11","gene49","0.0250520203263139"
"gene12","gene32","0.0249170957083436"
"gene27","gene31","0.0248801063417657"
"gene12","gene45","0.0248475635938626"
"gene35","gene47","0.0248021478246943"
"gene5","gene24","0.0247457097444357"
"gene5","gene28","0.0246497811994265"
"gene27","gene37","0.0246375386407163"
"gene24","gene33","0.0246157757357"
"gene24","gene45","0.0245735875952737"
"gene8","gene18","0.0245154524371884"
"gene32","gene37","0.0244616355073128"
"gene25","gene36","0.0244496191888641"
"gene29","gene33","0.024407460490543"
"gene30","gene31","0.024368619123055"
"gene31","gene43","0.0243410737940896"
"gene15","gene30","0.0242964036911725"
"gene10","gene46","0.0241469976266796"
"gene8","gene21","0.0241162525049106"
"gene21","gene26","0.0237582541740421"
"gene27","gene42","0.023687231314854"
"gene7","gene28","0.0236110072383728"
"gene24","gene38","0.0236063072230865"
"gene13","gene47","0.0234449429649143"
"gene42","gene45","0.0234357272436609"
"gene2","gene47","0.0234215556843189"
"gene3","gene18","0.0233939237454721"
"gene6","gene16","0.0233808651929905"
"gene2","gene24","0.023297392364649"
"gene5","gene37","0.023158154225154"
"gene20","gene36","0.0231369674066506"
"gene17","gene39","0.0230277851089732"
"gene18","gene20","0.0229300009634597"
"gene12","gene14","0.0228897812408533"
"gene18","gene31","0.0228269326126907"
"gene8","gene20","0.0228072747414052"
"gene28","gene29","0.0228014729988238"
"gene6","gene31","0.0227825044278585"
"gene6","gene49","0.0227579046945013"
"gene33","gene35","0.0227541347518587"
"gene2","gene21","0.0226084147941249"
"gene19","gene36","0.0224667196953569"
"gene1","gene16","0.022408389447671"
"gene43","gene46","0.0223112457333233"
"gene33","gene36","0.0222775156237448"
"gene26","gene36","0.0221993297846692"
"gene6","gene29","0.0219684013582123"
"gene4","gene42","0.0219527283223826"
"gene47","pheno2","0.0219373934058326"
"gene35","gene49","0.021835442089497"
"gene34","gene47","0.0217135077022787"
"gene12","gene31","0.021695276790665"
"gene1","gene27","0.0216363263347787"
"gene17","gene25","0.0216360038762804"
"gene7","gene32","0.0215396037871006"
"gene2","gene25","0.0215216306912126"
"gene1","gene20","0.0215059403370586"
"gene2","gene39","0.0214805361265504"
"gene8","gene34","0.0214613258389581"
"gene3","gene32","0.0214377313178651"
"gene1","gene36","0.0212992436835026"
"gene32","gene48","0.0212667890969849"
"gene27","gene40","0.021187926429811"
"gene31","gene33","0.0210379532884399"
"gene36","gene41","0.0209734869140581"
"gene39","gene43","0.0209536275812785"
"gene2","gene40","0.0209267937828391"
"gene39","gene40","0.020856349418809"
"gene17","gene31","0.020778914728814"
"gene22","gene45","0.0206976905593444"
"gene8","gene36","0.0206825680648653"
"gene21","gene37","0.0206470826391997"
"gene4","gene43","0.020573963337066"
"gene13","gene38","0.0204714302739115"
"gene26","gene40","0.0204495408147286"
"gene3","gene16","0.0204396145566577"
"gene6","gene28","0.02035898174224"
"gene40","gene47","0.0202182835354732"
"gene34","gene42","0.0201878139758664"
"gene1","gene18","0.0201236577561138"
"gene35","gene46","0.0200679189412234"
"gene8","gene24","0.0200650891227915"
"gene13","gene34","0.0200489090632524"
"gene14","gene45","0.0199910658474774"
"gene19","gene29","0.0198995895325894"
"gene4","gene40","0.0198938008134781"
"gene18","gene37","0.0198313113621178"
"gene33","gene44","0.0195981954991747"
"gene15","gene32","0.0195258719014049"
"gene26","gene47","0.0194912221900792"
"gene37","gene47","0.0194725845974234"
"gene6","gene21","0.0194471110304136"
"gene22","gene26","0.0192567594701791"
"gene21","gene28","0.0191929763087224"
"gene16","gene44","0.0191697695511557"
"gene35","gene48","0.019144111006622"
"gene31","gene38","0.0191125077925601"
"gene5","gene42","0.0188948023509736"
"gene22","gene25","0.0188439049934616"
"gene17","gene35","0.0188249824913921"
"gene23","gene28","0.0188141083720203"
"gene13","gene26","0.0187569843463732"
"gene10","gene41","0.0187517988668943"
"gene36","gene42","0.0186839670362657"
"gene1","gene49","0.0186662833560349"
"gene18","gene19","0.0185334360919113"
"gene17","gene20","0.0185319030719378"
"gene18","gene48","0.018487125386631"
"gene22","gene42","0.0184780653125847"
"gene27","gene35","0.0184469369219676"
"gene34","gene43","0.018395798837263"
"gene15","gene35","0.0183928392091833"
"gene7","gene49","0.0183917816831743"
"gene8","gene38","0.0183831388623612"
"gene19","gene46","0.0182940483687794"
"gene21","gene33","0.0182398880983552"
"gene20","gene38","0.018115501715957"
"gene33","gene43","0.0179490682132623"
"gene4","gene36","0.0179078723551476"
"gene23","gene26","0.0178538600732463"
"gene33","gene48","0.0177436686217287"
"gene35","gene36","0.0177259470265114"
"gene1","gene47","0.0176652153773433"
"gene16","pheno3","0.0176406326191595"
"gene34","gene45","0.017626461863983"
"gene23","gene46","0.0176247822933022"
"gene24","gene47","0.0175405420843991"
"gene2","gene38","0.0175163405489766"
"gene25","gene37","0.0174799012692704"
"gene3","gene28","0.0174459148602094"
"gene7","gene31","0.0174326406894165"
"gene49","pheno2","0.0174099728738444"
"gene7","gene18","0.0173755664165706"
"gene8","gene47","0.0173576466531371"
"gene14","gene31","0.0172856652591559"
"gene16","gene30","0.0172512232386998"
"gene24","gene49","0.0172264544089939"
"gene11","gene39","0.0169958240954213"
"gene31","gene34","0.0169842421543543"
"gene37","gene40","0.0169636629757924"
"gene3","gene47","0.0169309378132588"
"gene32","gene43","0.0169242609602359"
"gene3","gene20","0.0169101686533056"
"gene22","gene28","0.0168956594487962"
"gene19","gene34","0.0168948145312645"
"gene1","gene29","0.016744872278584"
"gene20","gene25","0.0167256543261824"
"gene20","gene39","0.0166184427376782"
"gene4","gene21","0.0166011585755671"
"gene19","gene42","0.0165785692565643"
"gene11","gene21","0.0165730317063781"
"gene13","gene41","0.0164661241388147"
"gene26","gene35","0.0164648572099795"
"gene5","gene40","0.0164581425429582"
"gene14","gene30","0.0164000940748749"
"gene3","gene31","0.0163717854950435"
"gene11","gene36","0.0163342376545566"
"gene31","gene47","0.0163254642242951"
"gene35","gene38","0.016275439079657"
"gene25","gene38","0.0162702286155237"
"gene14","gene35","0.0162639417618146"
"gene1","gene43","0.0162636908138222"
"gene3","gene26","0.0162391284257803"
